def,detailed,,
Permafrost Thaw,"Permafrost is ground (soil or rock and included ice and organic material) that remains at or below zero degree centigrade for at least two consecutive years. Progressive loss of ground ice in permafrost, usually due to input of heat. Thaw can occur over decades to centuries over the entire depth of permafrost ground, with impacts occurring while thaw progresses. During thaw, temperature fluctuations are subdued because energy is transferred by phase change between ice and water. After the transition from permafrost to non-permafrost, ground can be described as thawed. Permafrost degradation is a major threat to Arctic communities and ecosystems, but it also extends beyond the region, as it contributes to climate change and the positive feedback loop which threatens to push our planet into an environmental crisis.  Permafrost covers 24 percent of the surface of land masses in the northern hemisphere and accounts for nearly half of all organic carbon stored within the planet's soil. As long as this organic matter remains frozen, it will stay trapped in the permafrost. However, if it thaws, microbes will begin to eat the material, causing it to decay and releasing carbon dioxide and methane into the atmosphere. Even if a small fraction of these greenhouse gases are released, it will have major consequences on not only the Arctic, but Earth's entire climate system, as they intensify global climate change.",,
"Snow cover snow pack, snowmelt timing, snow drought",The world is already experiencing the effects of climate change in the form of loss of snow cover. Warmer temperatures have been linked to changes in snowpack thickness and density snow-water equivalent (SWE) and snowmelt timing. Snow drought is a period of abnormally little snowpack for the time of year.,,
Loss of arctic sea ice and glaciers,"Sea ice is ice found at the sea surface that has originated from the freezing of seawater. Sea ice may be discontinuous pieces (ice floes) moved on the ocean surface by wind and currents (pack ice), or a motionless sheet attached to the coast (land-fast ice). Sea ice concentration is the fraction of the ocean covered by ice. Sea ice less than one year old is called first-year ice. Perennial ice is sea ice that survives at least one summer.  The world is already experiencing the effects of climate change in the form of the loss of Arctic sea ice. The consequences of climate change include melting ice sheets.",,
"(Ground) Drying trend, precipitation variability trend, dry days","Projected trends in temperature are expected to have a significant impact on evaporation, which will severely impact the water budget, imposing long-term deficits of water (Collins et al. 2013, Dai 2013, Wehner et al. 2017). As a result, surface soil moisture availability, which is a critical diagnostic metric for drought, is projected to decrease (Hayhoe et al. 2018) and lead to an increase in drought caused by evaporative demands. More frequent dry days punctuated by more frequent heavy rainfall events, with moderate spectrum events decreasing in frequency. Near-surface soil moisture is projected to decrease throughout the entire United States, which implies that future droughts are projected to become more frequent and intense, and persist for longer periods. In combination with lower soil moisture, decreased precipitation in the West and Southwest will further exacerbate drought frequency, intensity, and duration. ",,
"Sea level rise, coastal flooding, storm surge","Sea Level Rise is due to the oceans absorbing increased atmospheric heat associated with emissions from human activity. Like mercury in a thermometer, water expands as it warms up (this is referred to as ""thermal expansion"") causing sea levels to rise. Melting of glaciers and ice sheets is also contributing to sea level rise at increasing rates. Coastal areas will see continued sea level rise throughout the 21st century, contributing to more frequent and severe coastal flooding in low-lying areas and coastal erosion. Storm surge is an abnormal rise of water generated by a storm, over and above the predicted astronomical tides. This rise in water level can cause extreme flooding in coastal areas particularly when storm surge coincides with normal high tide.  ",,
Ocean acidification,"Ocean acidification refers to a reduction in the pH of the ocean over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO2) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean. Anthropogenic ocean acidification refers to the component of pH reduction that is caused by human activity.  ",,
Carbon dioxide fertilization ,Carbon dioxide fertilization is the enhancement of the growth of plants as a result of increased atmospheric carbon dioxide (CO2) concentration,,
"Rising ocean temperatures, sea surface temperatures","Much of the heat trapped by increasing atmospheric greenhouse gas levels is absorbed by the ocean, causing ocean temperatures to rise. Sea surface temperature-the temperature of the water at the ocean surface-is an important physical attribute of the world's oceans. The surface temperature of the world's oceans varies mainly with latitude, with the warmest waters generally near the equator and the coldest waters in the Arctic and Antarctic regions. As the oceans absorb more heat, sea surface temperature increases, and the ocean circulation patterns that transport warm and cold water around the globe change. ",,
,,,
,,,
,,,
